Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Kharan ,Kharan ,,Balochistan,"22,230","11,387","10,843","5,733","2,915","2,818","16,497","8,472","8,025","38,826","21,914","16,912","9,150","4,988","4,162","29,676","16,926","12,750",57.26%,51.96%,64.11%,62.66%,58.44%,67.71%,55.59%,50.05%,62.94%,389,420,369,372,413,334,364,358,366,1,1,1,2,3,1,4,4,4,48.63,59.17,36.60,38.54,47.63,28.86,51.18,61.97,38.65,"22,230",217
Patkain ,Kharan ,,Balochistan,"4,229","1,956","2,273","4,229","1,956","2,273",0,0,0,"6,817","3,496","3,321","6,817","3,496","3,321",0,0,0,62.04%,55.95%,68.44%,62.04%,55.95%,68.44%,0.00%,0.00%,0.00%,433,451,413,364,387,337,1,1,1,2,2,3,1,1,3,1,1,1,35.06,49,21.95,35.06,49,21.95,-,-,-,"4,229",29
Sar Kharan ,Kharan ,,Balochistan,"21,756","11,279","10,473","21,756","11,279","10,473",0,0,0,"34,628","19,303","15,321","34,628","19,303","15,321",0,0,0,62.83%,58.43%,68.36%,62.83%,58.43%,68.36%,0.00%,0.00%,0.00%,444,467,412,374,412,336,1,1,1,3,3,2,3,2,2,1,1,1,36.7,47.31,25.17,36.7,47.31,25.17,-,-,-,"21,756",213
Tomulk ,Kharan ,,Balochistan,"13,407","7,034","6,373","13,407","7,034","6,373",0,0,0,"19,534","10,876","8,658","19,534","10,876","8,658",0,0,0,68.63%,64.67%,73.61%,68.63%,64.67%,73.61%,0.00%,0.00%,0.00%,495,523,458,442,475,391,1,1,1,4,4,4,4,4,4,1,1,1,34.81,44.22,24.68,34.81,44.22,24.68,-,-,-,"13,407",133
Aranji ,Khuzdar ,,Balochistan,"14,362","8,022","6,338","14,362","8,022","6,338",0,0,0,"17,588","10,466","7,120","17,588","10,466","7,120",0,0,0,81.66%,76.65%,89.02%,81.66%,76.65%,89.02%,0.00%,0.00%,0.00%,568,569,567,530,528,528,1,1,1,9,9,9,9,9,9,1,1,1,12.11,17.67,5.40,12.11,17.67,5.4,-,-,-,"14,362",145
Gresha ,Khuzdar ,,Balochistan,"17,294","9,355","7,937","17,294","9,355","7,937",0,0,0,"25,034","14,455","10,577","25,034","14,455","10,577",0,0,0,69.08%,64.72%,75.04%,69.08%,64.72%,75.04%,0.00%,0.00%,0.00%,498,524,475,444,477,412,1,1,1,7,7,5,6,7,4,1,1,1,22.1,27.06,16.38,22.1,27.06,16.38,-,-,-,"17,294",176
Karakh ,Khuzdar ,,Balochistan,"7,404","3,594","3,810","7,404","3,594","3,810",0,0,0,"11,136","5,977","5,159","11,136","5,977","5,159",0,0,0,66.49%,60.13%,73.85%,66.49%,60.13%,73.85%,0.00%,0.00%,0.00%,476,479,461,421,426,397,1,1,1,4,4,4,3,3,3,1,1,1,32.14,39.7,24.41,32.14,39.7,24.41,-,-,-,"7,404",74
Khuzdar ,Khuzdar ,,Balochistan,"79,162","40,368","38,792","35,349","17,997","17,352","43,813","22,371","21,440","129,302","71,230","58,070","52,009","28,908","23,101","77,293","42,322","34,969",61.22%,56.67%,66.80%,67.97%,62.26%,75.11%,56.68%,52.86%,61.31%,426,455,399,433,451,413,366,368,364,2,2,2,4,5,5,8,9,8,43.85,50.4,36.48,32.31,40.53,23.2,51.25,56.66,45.11,"79,162",501
Mola ,Khuzdar ,,Balochistan,"8,401","4,212","4,189","8,401","4,212","4,189",0,0,0,"12,994","7,153","5,841","12,994","7,153","5,841",0,0,0,64.65%,58.88%,71.72%,64.65%,58.88%,71.72%,0.00%,0.00%,0.00%,465,472,447,395,420,377,1,1,1,3,3,3,2,2,2,1,1,1,52.68,59.48,45.32,52.68,59.48,45.32,-,-,-,"8,401",85
Naal ,Khuzdar ,,Balochistan,"26,157","13,811","12,345","13,717","7,060","6,656","12,440","6,751","5,689","38,263","21,814","16,448","20,133","11,374","8,758","18,130","10,440","7,690",68.36%,63.31%,75.05%,68.13%,62.07%,76.00%,68.62%,64.66%,73.98%,494,516,476,436,448,424,376,375,376,6,6,6,5,4,6,10,10,10,47.26,53.94,39.73,41.22,49.08,32.7,54.44,59.49,48.48,"26,157",249
Ornach ,Khuzdar ,,Balochistan,"8,578","4,724","3,854","8,578","4,724","3,854",0,0,0,"11,544","6,824","4,720","11,544","6,824","4,720",0,0,0,74.31%,69.23%,81.65%,74.31%,69.23%,81.65%,0.00%,0.00%,0.00%,542,546,527,496,505,478,1,1,1,8,8,8,8,8,8,1,1,1,21.58,27,15.09,21.58,27,15.09,-,-,-,"8,578",87
Saroona ,Khuzdar ,,Balochistan,"11,130","6,049","5,081","11,130","6,049","5,081",0,0,0,"13,328","7,696","5,632","13,328","7,696","5,632",0,0,0,83.51%,78.60%,90.22%,83.51%,78.60%,90.22%,0.00%,0.00%,0.00%,576,574,574,537,536,534,1,1,1,10,10,10,10,10,10,1,1,1,24.22,28,19.68,24.22,28,19.68,-,-,-,"11,130",111
Wadh ,Khuzdar ,,Balochistan,"27,847","13,913","13,933","22,467","11,370","11,096","5,380","2,543","2,837","40,878","22,900","17,977","31,599","17,742","13,856","9,279","5,158","4,121",68.12%,60.76%,77.50%,71.10%,64.09%,80.08%,57.98%,49.30%,68.84%,489,484,500,466,471,463,368,357,370,5,5,7,7,6,7,9,7,9,31.83,41.57,20.81,26.24,35.71,15.47,49.67,60.51,37.65,"27,847",263
Zehri ,Khuzdar ,,Balochistan,"34,570","18,704","15,865","18,714","9,764","8,949","15,856","8,940","6,916","60,579","34,682","25,896","30,444","17,170","13,273","30,135","17,512","12,623",57.07%,53.93%,61.26%,61.47%,56.87%,67.42%,52.62%,51.05%,54.79%,386,440,352,357,398,329,357,363,344,1,1,1,1,1,1,7,8,7,49.38,54.39,43.71,37.27,43.97,29.91,62.35,65.19,59.02,"34,570",318
Dobandi ,Killa Abdullah ,,Balochistan,"22,126","11,051","11,073","22,126","11,051","11,073",0,0,0,"25,285","13,449","11,834","25,285","13,449","11,834",0,0,0,87.51%,82.17%,93.57%,87.51%,82.17%,93.57%,0.00%,0.00%,0.00%,581,580,584,544,543,546,1,1,1,3,3,3,3,3,3,1,1,1,18.1,22.07,13.75,18.1,22.07,13.75,-,-,-,"22,126",215
Gulistan ,Killa Abdullah ,,Balochistan,"28,901","13,389","15,509","28,901","13,389","15,509",0,0,0,"39,754","20,910","18,841","39,754","20,910","18,841",0,0,0,72.70%,64.03%,82.32%,72.70%,64.03%,82.32%,0.00%,0.00%,0.00%,530,521,532,483,469,484,1,1,1,1,1,1,1,1,1,1,1,1,36.12,49.49,21.54,36.12,49.49,21.54,-,-,-,"28,901",270
Killa Abdullah ,Killa Abdullah ,,Balochistan,"41,249","19,759","21,488","31,034","13,991","17,041","10,215","5,768","4,447","54,925","29,083","25,840","42,243","21,607","20,634","12,682","7,476","5,206",75.10%,67.94%,83.16%,73.47%,64.75%,82.59%,80.55%,77.15%,85.42%,548,536,536,488,478,487,380,381,381,2,2,2,2,2,2,3,3,3,44,55.9,31.42,46.64,59.8,33.25,34.72,43.26,24.4,"41,249",367
Badini ,Killa Saifullah ,,Balochistan,"6,283","3,215","3,068","6,283","3,215","3,068",0,0,0,"8,442","5,099","3,343","8,442","5,099","3,343",0,0,0,74.43%,63.05%,91.77%,74.43%,63.05%,91.77%,0.00%,0.00%,0.00%,543,512,579,497,461,540,1,1,1,5,6,5,5,6,5,1,1,1,19.15,27.33,9.64,19.15,27.33,9.64,-,-,-,"6,283",55
Kan Mehtarzai ,Killa Saifullah ,,Balochistan,"5,269","1,901","3,367","5,269","1,901","3,367",0,0,0,"10,877","5,359","5,517","10,877","5,359","5,517",0,0,0,48.44%,35.47%,61.03%,48.44%,35.47%,61.03%,0.00%,0.00%,0.00%,311,254,351,245,209,280,1,1,1,1,1,1,1,1,1,1,1,1,53.65,68.36,38.43,53.65,68.36,38.43,-,-,-,"5,269",37
Killa Saifullah ,Killa Saifullah ,,Balochistan,"34,212","15,157","19,055","28,757","12,880","15,877","5,455","2,277","3,178","54,649","30,011","24,638","43,333","24,168","19,165","11,316","5,843","5,473",62.60%,50.50%,77.34%,66.36%,53.29%,82.84%,48.21%,38.97%,58.07%,441,399,498,419,359,490,339,319,361,3,3,3,3,4,3,5,5,6,30.77,40.94,19.43,24.94,34.91,13.7,48.69,59.91,36.62,"34,212",312
Loiband ,Killa Saifullah ,,Balochistan,"7,540","2,841","4,699","7,540","2,841","4,699",0,0,0,"10,671","5,437","5,234","10,671","5,437","5,234",0,0,0,70.66%,52.25%,89.78%,70.66%,52.25%,89.78%,0.00%,0.00%,0.00%,512,422,572,462,347,532,1,1,1,4,4,4,4,3,4,1,1,1,25.81,40.77,10.77,25.81,40.77,10.77,-,-,-,"7,540",76
Muslim Bagh ,Killa Saifullah ,,Balochistan,"16,116","6,744","9,372","11,281","4,637","6,644","4,835","2,107","2,728","30,377","16,096","14,281","20,393","10,981","9,412","9,984","5,115","4,869",53.05%,41.90%,65.63%,55.32%,42.23%,70.59%,48.43%,41.19%,56.03%,355,322,381,306,266,365,340,334,350,2,2,2,2,2,2,6,6,5,45.36,56.55,34.11,40.71,53.15,27.88,53.76,62.9,44.97,"16,116",162
Shinki ,Killa Saifullah ,,Balochistan,"15,905","6,500","9,405","15,905","6,500","9,405",0,0,0,"21,235","11,138","10,097","21,235","11,138","10,097",0,0,0,74.90%,58.36%,93.15%,74.90%,58.36%,93.15%,0.00%,0.00%,0.00%,547,466,582,503,410,544,1,1,1,6,5,6,6,5,6,1,1,1,14.93,25.24,3.93,14.93,25.24,3.93,-,-,-,"15,905",159
Grisani ,Kohlu ,,Balochistan,"4,679","2,378","2,301","4,679","2,378","2,301",0,0,0,"6,462","3,390","3,072","6,462","3,390","3,072",0,0,0,72.41%,70.15%,74.90%,72.41%,70.15%,74.90%,0.00%,0.00%,0.00%,528,552,474,480,511,411,1,1,1,3,3,3,3,3,3,1,1,1,34.4,37.89,30.73,34.4,37.89,30.73,-,-,-,"4,679",35
Kahan ,Kohlu ,,Balochistan,"34,230","19,380","14,845","34,230","19,380","14,845",0,0,0,"41,671","23,372","18,293","41,671","23,372","18,293",0,0,0,82.14%,82.92%,81.15%,82.14%,82.92%,81.15%,0.00%,0.00%,0.00%,570,583,526,531,546,475,1,1,1,5,5,5,5,5,5,1,1,1,19.87,21.39,17.99,19.87,21.39,17.99,-,-,-,"34,230",313
Kohlu ,Kohlu ,,Balochistan,"7,195","2,986","4,209","5,766","2,399","3,367","1,429",587,842,"16,900","7,766","9,134","10,129","4,639","5,490","6,771","3,127","3,644",42.57%,38.45%,46.08%,56.93%,51.71%,61.33%,21.10%,18.77%,23.11%,264,279,242,315,342,282,135,96,154,1,1,1,1,1,1,5,5,5,49.76,62.65,37.59,39.26,52.7,26.36,65.11,77.48,53.7,"7,195",71
Mawand ,Kohlu ,,Balochistan,"15,102","7,659","7,443","15,102","7,659","7,443",0,0,0,"19,415","9,855","9,560","19,415","9,855","9,560",0,0,0,77.79%,77.72%,77.86%,77.79%,77.72%,77.86%,0.00%,0.00%,0.00%,561,572,502,518,533,446,1,1,1,4,4,4,4,4,4,1,1,1,25.75,27.72,23.55,25.75,27.72,23.55,-,-,-,"15,102",151
Tamboo ,Kohlu ,,Balochistan,"8,310","4,169","4,141","8,310","4,169","4,141",0,0,0,"12,989","6,693","6,296","12,989","6,693","6,296",0,0,0,63.98%,62.29%,65.77%,63.98%,62.29%,65.77%,0.00%,0.00%,0.00%,457,503,384,386,452,317,1,1,1,2,2,2,2,2,2,1,1,1,29.32,38.36,19.63,29.32,38.36,19.63,-,-,-,"8,310",84
Bela ,Lasbela ,,Balochistan,"24,012","11,634","12,375","20,167","9,701","10,463","3,845","1,933","1,912","43,636","23,186","20,445","33,189","17,047","16,137","10,447","6,139","4,308",55.03%,50.18%,60.53%,60.76%,56.91%,64.84%,36.80%,31.49%,44.38%,368,397,346,350,399,308,285,277,306,4,4,4,4,4,4,5,5,5,40.98,51.87,29.17,34.18,44.86,22.87,62.1,72.73,49.74,"24,012",231
Dureji ,Lasbela ,,Balochistan,"13,482","6,371","7,111","9,172","4,336","4,836","4,310","2,035","2,275","17,904","9,074","8,830","12,661","6,381","6,280","5,243","2,693","2,550",75.30%,70.21%,80.53%,72.44%,67.95%,77.01%,82.20%,75.57%,89.22%,550,553,521,481,493,435,381,380,382,9,9,9,8,8,9,9,9,9,15.58,23.01,7.70,16.27,23.44,8.77,14.02,22.05,5.22,"13,482",134
Gaddani ,Lasbela ,,Balochistan,"2,405",825,"1,580","1,121",394,727,"1,284",431,853,"7,821","3,765","4,056","3,196","1,552","1,644","4,625","2,213","2,412",30.75%,21.91%,38.95%,35.08%,25.39%,44.22%,27.76%,19.48%,35.36%,182,114,199,169,135,179,215,111,248,1,1,1,1,1,1,4,4,4,48.57,59.85,37.19,47.31,62.32,32.21,49.39,58.23,40.46,"2,405",9
Hub ,Lasbela ,,Balochistan,"39,655","18,025","21,630","6,913","3,160","3,753","32,742","14,865","17,877","74,820","37,411","37,408","11,699","5,727","5,971","63,121","31,684","31,437",53.00%,48.18%,57.82%,59.09%,55.18%,62.85%,51.87%,46.92%,56.87%,353,379,325,333,382,289,354,351,354,3,3,3,3,3,3,8,8,8,44.35,53.87,34.34,37.08,47.57,26.42,45.75,55.05,35.9,"39,655",356
Kanraj ,Lasbela ,,Balochistan,"3,892","1,792","2,099","3,892","1,792","2,099",0,0,0,"5,627","2,854","2,772","5,627","2,854","2,772",0,0,0,69.17%,62.79%,75.72%,69.17%,62.79%,75.72%,0.00%,0.00%,0.00%,500,511,486,445,459,420,1,1,1,6,6,7,6,6,7,1,1,1,20.32,30.8,8.93,20.32,30.8,8.93,-,-,-,"3,892",26
Lakhra ,Lasbela ,,Balochistan,"12,266","5,836","6,430","12,266","5,836","6,430",0,0,0,"16,860","8,430","8,430","16,860","8,430","8,430",0,0,0,72.75%,69.23%,76.28%,72.75%,69.23%,76.28%,0.00%,0.00%,0.00%,531,547,489,484,506,426,1,1,1,8,8,8,9,9,8,1,1,1,15.31,22.87,7.50,15.31,22.87,7.5,-,-,-,"12,266",124
Lairi ,Lasbela ,,Balochistan,"4,409","2,221","2,188","4,409","2,221","2,188",0,0,0,"6,248","3,271","2,977","6,248","3,271","2,977",0,0,0,70.57%,67.90%,73.50%,70.57%,67.90%,73.50%,0.00%,0.00%,0.00%,511,534,457,461,491,389,1,1,1,7,7,6,7,7,5,1,1,1,16.09,21.3,10.46,16.09,21.3,10.46,-,-,-,"4,409",32
Sonmiani,Lasbela ,,Balochistan,"9,921","4,267","5,654","4,706","1,996","2,710","5,215","2,271","2,944","20,336","9,899","10,437","9,435","4,596","4,839","10,901","5,303","5,598",48.79%,43.11%,54.17%,49.88%,43.43%,56.00%,47.84%,42.82%,52.59%,317,332,299,256,276,245,338,342,337,2,2,2,2,2,2,7,7,7,35.8,45.58,25.89,32.98,42.79,23.22,38.48,48.18,28.48,"9,921",98
Uthal ,Lasbela ,,Balochistan,"17,102","8,252","8,850","12,559","6,258","6,301","4,543","1,994","2,549","30,155","15,964","14,191","18,654","10,094","8,560","11,501","5,870","5,631",56.71%,51.69%,62.36%,67.33%,62.00%,73.61%,39.50%,33.97%,45.27%,382,414,362,428,447,392,299,295,309,5,5,5,5,5,6,6,6,6,33.95,42.72,23.99,19.87,27.73,10.92,52.45,62.4,41.14,"17,102",174
Bori ,Loralai ,,Balochistan,"36,756","14,196","22,556","31,659","11,634","20,021","5,097","2,562","2,535","79,026","42,212","36,810","60,141","32,226","27,911","18,885","9,986","8,899",46.51%,33.63%,61.28%,52.64%,36.10%,71.73%,26.99%,25.66%,28.49%,292,241,353,281,212,378,206,210,193,1,1,1,1,1,1,2,2,2,46.82,57.87,34.53,40.27,51.34,28.02,64.54,75.36,52.31,"36,756",335
Mekhtar,Loralai ,,Balochistan,"10,582","3,584","6,998","10,582","3,584","6,998",0,0,0,"17,622","9,139","8,483","17,622","9,139","8,483",0,0,0,60.05%,39.22%,82.49%,60.05%,39.22%,82.49%,0.00%,0.00%,0.00%,412,289,534,344,237,486,1,1,1,2,2,2,2,2,2,1,1,1,24.55,35.93,11.92,24.55,35.93,11.92,-,-,-,"10,582",105
Dasht Spenzend,Mastung ,,Balochistan,"14,210","6,954","7,256","14,210","6,954","7,256",0,0,0,"23,473","13,153","10,320","23,473","13,153","10,320",0,0,0,60.54%,52.87%,70.31%,60.54%,52.87%,70.31%,0.00%,0.00%,0.00%,418,426,434,348,355,356,1,1,1,3,3,3,3,3,3,1,1,1,36.79,48.48,23.14,36.79,48.48,23.14,-,-,-,"14,210",143
Khad Kocha ,Mastung ,,Balochistan,"11,278","5,470","5,808","11,278","5,470","5,808",0,0,0,"17,893","9,761","8,132","17,893","9,761","8,132",0,0,0,63.03%,56.04%,71.42%,63.03%,56.04%,71.42%,0.00%,0.00%,0.00%,447,452,443,378,389,371,1,1,1,4,4,4,4,4,4,1,1,1,33.22,42.69,22.55,33.22,42.69,22.55,-,-,-,"11,278",114
Kirdgap ,Mastung ,,Balochistan,"7,587","3,520","4,067","7,587","3,520","4,067",0,0,0,"13,172","7,046","6,126","13,172","7,046","6,126",0,0,0,57.60%,49.96%,66.39%,57.60%,49.96%,66.39%,0.00%,0.00%,0.00%,393,395,391,322,330,320,1,1,1,2,2,2,2,2,2,1,1,1,42.71,55.8,28.34,42.71,55.8,28.34,-,-,-,"7,587",77
Mastung ,Mastung ,,Balochistan,"24,627","11,662","12,963","21,127","10,126","10,999","3,500","1,536","1,964","54,569","29,515","25,052","42,534","23,090","19,442","12,035","6,425","5,610",45.13%,39.51%,51.74%,49.67%,43.85%,56.57%,29.08%,23.91%,35.01%,283,292,280,254,279,249,222,190,243,1,1,1,1,1,1,4,4,4,53.7,65.04,41.07,48.71,60.54,35.51,68.28,78.23,57.24,"24,627",236
Drug ,Musakhel ,,Balochistan,"2,062",815,"1,247","2,062",815,"1,247",0,0,0,"6,767","3,398","3,369","6,767","3,398","3,369",0,0,0,30.47%,23.98%,37.01%,30.47%,23.98%,37.01%,0.00%,0.00%,0.00%,179,148,186,131,116,144,1,1,1,1,1,1,1,1,1,1,1,1,65.37,80.17,49.80,65.37,80.17,49.8,-,-,-,"2,062",6
Kingri ,Musakhel ,,Balochistan,"4,402","1,960","2,442","4,402","1,960","2,442",0,0,0,"11,052","5,814","5,238","11,052","5,814","5,238",0,0,0,39.83%,33.71%,46.62%,39.83%,33.71%,46.62%,0.00%,0.00%,0.00%,239,243,250,194,201,193,1,1,1,2,2,2,2,2,2,1,1,1,45.37,56.99,33.18,45.37,56.99,33.18,-,-,-,"4,402",31
Musakhel ,Musakhel ,,Balochistan,"9,863","5,114","4,748","7,826","4,135","3,690","2,037",979,"1,058","19,660","11,301","8,358","13,470","7,829","5,640","6,190","3,472","2,718",50.17%,45.25%,56.81%,58.10%,52.82%,65.43%,32.91%,28.20%,38.93%,329,351,316,324,353,313,261,243,268,3,3,3,3,3,3,6,6,6,34.51,45.26,22.49,20.95,31.4,9.07,60.61,72.55,47.67,"9,863",97
Tiyar Essot ,Musakhel ,,Balochistan,"3,250","1,900","1,350","3,250","1,900","1,350",0,0,0,"5,189","3,242","1,947","5,189","3,242","1,947",0,0,0,62.63%,58.61%,69.34%,62.63%,58.61%,69.34%,0.00%,0.00%,0.00%,442,470,421,371,417,342,1,1,1,6,6,6,6,6,6,1,1,1,24.71,32.26,14.78,24.71,32.26,14.78,-,-,-,"3,250",19
Toisar ,Musakhel ,,Balochistan,"13,565","6,759","6,806","13,565","6,759","6,806",0,0,0,"22,618","12,413","10,205","22,618","12,413","10,205",0,0,0,59.97%,54.45%,66.69%,59.97%,54.45%,66.69%,0.00%,0.00%,0.00%,411,442,397,343,375,323,1,1,1,4,4,4,4,4,4,1,1,1,26.06,36.93,14.50,26.06,36.93,14.5,-,-,-,"13,565",135
Zimri Plaseen ,Musakhel ,,Balochistan,"2,078",961,"1,117","2,078",961,"1,117",0,0,0,"3,325","1,698","1,627","3,325","1,698","1,627",0,0,0,62.50%,56.60%,68.65%,62.50%,56.60%,68.65%,0.00%,0.00%,0.00%,439,454,416,370,395,340,1,1,1,5,5,5,5,5,5,1,1,1,15.02,21.7,7.44,15.02,21.7,7.44,-,-,-,"2,078",8
Baba Kot ,Nasirabad ,,Balochistan,"18,062","9,517","8,543","18,062","9,517","8,543",0,0,0,"21,267","11,710","9,555","21,267","11,710","9,555",0,0,0,84.93%,81.27%,89.41%,84.93%,81.27%,89.41%,0.00%,0.00%,0.00%,579,578,569,541,542,530,1,1,1,5,6,5,5,6,5,1,1,1,15.41,18.61,11.86,15.41,18.61,11.86,-,-,-,"18,062",184
Chattar ,Nasirabad ,,Balochistan,"9,119","4,273","4,846","9,119","4,273","4,846",0,0,0,"10,414","5,258","5,156","10,414","5,258","5,156",0,0,0,87.56%,81.27%,93.99%,87.56%,81.27%,93.99%,0.00%,0.00%,0.00%,582,577,586,545,541,548,1,1,1,6,5,6,6,5,6,1,1,1,17.21,24.47,9.59,17.21,24.47,9.59,-,-,-,"9,119",91
Dera Murad Jamali ,Nasirabad ,,Balochistan,"62,917","29,968","32,946","44,855","22,041","22,811","18,062","7,927","10,135","94,292","48,342","45,947","57,512","30,285","27,224","36,780","18,057","18,723",66.73%,61.99%,71.70%,77.99%,72.78%,83.79%,49.11%,43.90%,54.13%,479,499,446,521,518,496,344,345,341,1,1,1,3,3,3,6,6,6,34.93,44.38,25.13,25.68,32.49,18.44,48.34,62.18,34.53,"62,917",456
Landhi ,Nasirabad ,,Balochistan,"2,608","1,254","1,354","2,608","1,254","1,354",0,0,0,"3,102","1,574","1,528","3,102","1,574","1,528",0,0,0,84.07%,79.67%,88.61%,84.07%,79.67%,88.61%,0.00%,0.00%,0.00%,577,575,564,540,538,525,1,1,1,4,4,4,4,4,4,1,1,1,17.6,21.02,13.85,17.6,21.02,13.85,-,-,-,"2,608",11
Mir Hassan Khosa ,Nasirabad ,,Balochistan,"15,381","7,010","8,367","15,381","7,010","8,367",0,0,0,"20,191","10,162","10,025","20,191","10,162","10,025",0,0,0,76.18%,68.98%,83.46%,76.18%,68.98%,83.46%,0.00%,0.00%,0.00%,552,544,539,508,501,495,1,1,1,3,2,3,2,1,2,1,1,1,22.99,31.08,14.72,22.99,31.08,14.72,-,-,-,"15,381",155
Tamboo ,Nasirabad ,,Balochistan,"43,120","21,161","21,958","43,120","21,161","21,958",0,0,0,"57,684","29,971","27,712","57,684","29,971","27,712",0,0,0,74.75%,70.60%,79.24%,74.75%,70.60%,79.24%,0.00%,0.00%,0.00%,546,555,512,502,512,455,1,1,1,2,3,2,1,2,1,1,1,1,28.8,34.61,22.80,28.8,34.61,22.8,-,-,-,"43,120",372
Dak ,Nushki ,,Balochistan,"3,020","1,421","1,599","3,020","1,421","1,599",0,0,0,"5,698","2,922","2,776","5,698","2,922","2,776",0,0,0,53.00%,48.63%,57.60%,53.00%,48.63%,57.60%,0.00%,0.00%,0.00%,354,384,323,286,314,258,1,1,1,2,2,2,2,2,2,1,1,1,36.29,48.66,24.04,36.29,48.66,24.04,-,-,-,"3,020",14
Nushki ,Nushki ,,Balochistan,"28,049","13,321","14,728","22,573","11,084","11,489","5,476","2,237","3,239","63,384","33,411","29,973","47,577","25,057","22,520","15,807","8,354","7,453",44.25%,39.87%,49.14%,47.45%,44.24%,51.02%,34.64%,26.78%,43.46%,276,296,262,240,281,214,270,226,303,1,1,1,1,1,1,2,2,2,59.04,71.07,46.10,56.41,68.55,43.43,66.33,77.98,53.57,"28,049",265
Gichk ,Panjgur ,,Balochistan,"6,794","4,333","2,460","6,794","4,333","2,460",0,0,0,"7,693","4,871","2,821","7,693","4,871","2,821",0,0,0,88.31%,88.96%,87.20%,88.31%,88.96%,87.20%,0.00%,0.00%,0.00%,587,591,557,550,554,515,1,1,1,5,5,5,5,5,5,1,1,1,20.15,21.68,17.50,20.15,21.68,17.5,-,-,-,"6,794",63
Gowargo ,Panjgur ,,Balochistan,"6,348","3,549","2,798","6,348","3,549","2,798",0,0,0,"9,523","5,155","4,367","9,523","5,155","4,367",0,0,0,66.66%,68.85%,64.07%,66.66%,68.85%,64.07%,0.00%,0.00%,0.00%,477,542,368,423,499,301,1,1,1,3,3,2,3,3,2,1,1,1,27.57,31.66,22.55,27.57,31.66,22.55,-,-,-,"6,348",56
Jaheen Parome ,Panjgur ,,Balochistan,"6,947","3,454","3,492","6,947","3,454","3,492",0,0,0,"10,841","5,452","5,388","10,841","5,452","5,388",0,0,0,64.08%,63.35%,64.81%,64.08%,63.35%,64.81%,0.00%,0.00%,0.00%,458,517,373,387,464,307,1,1,1,2,2,3,2,2,3,1,1,1,38.64,42.62,34.41,38.64,42.62,34.41,-,-,-,"6,947",66
Kallag ,Panjgur ,,Balochistan,"4,247","2,553","1,694","4,247","2,553","1,694",0,0,0,"5,264","3,095","2,169","5,264","3,095","2,169",0,0,0,80.68%,82.49%,78.10%,80.68%,82.49%,78.10%,0.00%,0.00%,0.00%,566,581,505,526,544,450,1,1,1,4,4,4,4,4,4,1,1,1,38.4,43.15,31.04,38.4,43.15,31.04,-,-,-,"4,247",30
Panjgur ,Panjgur ,,Balochistan,"66,479","32,094","34,380","35,671","17,357","18,313","30,808","14,737","16,067","110,639","55,510","55,122","65,005","32,158","32,845","45,634","23,352","22,277",60.09%,57.82%,62.37%,54.87%,53.97%,55.76%,67.51%,63.11%,72.12%,413,462,363,304,372,242,375,374,375,1,1,1,1,1,1,5,5,5,46.19,50.72,41.32,53.73,60.49,46.96,36.43,39.07,33.31,"66,479",469
Barshore ,Pishin ,,Balochistan,"36,329","18,497","17,826","36,329","18,497","17,826",0,0,0,"56,378","31,075","25,297","56,378","31,075","25,297",0,0,0,64.44%,59.52%,70.47%,64.44%,59.52%,70.47%,0.00%,0.00%,0.00%,463,476,436,393,423,359,1,1,1,5,6,4,4,6,3,1,1,1,47.61,60.54,34.35,47.61,60.54,34.35,-,-,-,"36,329",331
Bostan ,Pishin ,,Balochistan,"11,443","5,363","6,078","11,443","5,363","6,078",0,0,0,"16,782","8,583","8,197","16,782","8,583","8,197",0,0,0,68.19%,62.48%,74.15%,68.19%,62.48%,74.15%,0.00%,0.00%,0.00%,490,508,463,437,456,400,1,1,1,7,7,6,7,7,6,1,1,1,45.19,55.72,34.13,45.19,55.72,34.13,-,-,-,"11,443",116
Huramzai ,Pishin ,,Balochistan,"34,239","14,178","20,061","22,889","9,374","13,515","11,350","4,804","6,546","53,020","26,752","26,268","34,857","17,420","17,437","18,163","9,332","8,831",64.58%,53.00%,76.37%,65.67%,53.81%,77.51%,62.49%,51.48%,74.13%,464,428,491,409,371,441,373,364,377,6,4,7,6,4,7,7,6,7,39.67,61.32,18.72,40.89,64.03,18.33,36.47,54.14,19.71,"34,239",314
